,schedule time,actual time,stand,trailer,direction
183,2023-06-01 21:20:00,2023-06-01 21:25:00,S45,2,1
184,2023-06-01 21:30:00,2023-06-01 21:14:00,N64,3,1
185,2023-06-01 21:30:00,2023-06-01 22:44:00,W46,3,1
186,2023-06-01 21:30:00,2023-06-01 21:16:00,N28,2,1
187,2023-06-01 21:30:00,2023-06-01 21:05:00,S31,3,1
188,2023-06-01 21:35:00,2023-06-01 22:09:00,S33,3,1
189,2023-06-01 21:45:00,2023-06-01 21:37:00,S27,2,1
190,2023-06-01 21:45:00,2023-06-01 21:34:00,W63,2,1
191,2023-06-01 21:45:00,2023-06-01 21:22:00,S4,2,1
192,2023-06-01 21:50:00,2023-06-01 21:53:00,N32,2,1
193,2023-06-01 21:55:00,2023-06-01 21:49:00,W40,3,1
194,2023-06-01 22:00:00,2023-06-01 22:25:00,R13,3,1
195,2023-06-01 22:00:00,2023-06-01 22:39:00,N9,2,1
196,2023-06-01 22:00:00,2023-06-01 21:45:00,N62,2,1
197,2023-06-01 22:00:00,2023-06-01 21:48:00,N24,2,1
198,2023-06-01 22:05:00,2023-06-01 22:14:00,N10,3,1
199,2023-06-01 22:10:00,2023-06-01 21:56:00,W42,3,1
200,2023-06-01 22:20:00,2023-06-01 22:15:00,R21,3,1
201,2023-06-01 22:25:00,2023-06-01 22:35:00,N60,2,1
202,2023-06-01 22:30:00,2023-06-01 22:49:00,N66,3,1
203,2023-06-01 22:30:00,2023-06-01 22:22:00,N26,2,1
204,2023-06-01 22:35:00,2023-06-01 22:52:00,S31,2,1
205,2023-06-01 22:40:00,2023-06-01 22:47:00,N30,2,1
206,2023-06-01 22:50:00,2023-06-01 22:23:00,R14,3,1
207,2023-06-01 22:55:00,2023-06-01 23:03:00,S23,3,1
208,2023-06-01 23:00:00,2023-06-01 23:00:00,S27,2,1
209,2023-06-01 23:05:00,2023-06-01 22:55:00,S41,2,1
210,2023-06-01 23:05:00,2023-06-01 23:05:00,W67,2,1
211,2023-06-01 23:10:00,2023-06-01 23:08:00,N34,3,1
212,2023-06-01 23:15:00,2023-06-01 23:03:00,R16,2,1
213,2023-06-01 23:25:00,2023-06-01 23:37:00,N6,2,1
214,2023-06-01 23:30:00,2023-06-01 23:28:00,R21,3,1
215,2023-06-01 23:30:00,2023-06-02 00:00:00,S25,2,1
216,2023-06-01 23:50:00,2023-06-02 00:06:00,N28,2,1
217,2023-06-01 23:55:00,2023-06-01 23:48:00,N7,2,1
